sentry_id,shareId,shortId,title,culprit,permalink,logger,level,status,substatus,isPublic,platform,type,numComments,assignedTo,isBookmarked,isSubscribed,subscriptionDetails,hasSeen,annotations,issueType,issueCategory,priority,priorityLockedAt,isUnhandled,count,userCount,firstSeen,lastSeen,filtered,project.id,project.name,project.slug,project.platform,metadata.value,metadata.type,metadata.filename,metadata.function,metadata.in_app_frame_mix,metadata.sdk.name,metadata.sdk.name_normalized,metadata.initial_priority,metadata.title,stats.24h,lifetime.count,lifetime.userCount,lifetime.firstSeen,lifetime.lastSeen,lifetime.stats,metadata.seer_similarity.similarity_model_version,metadata.seer_similarity.request_hash
6492238925,,FIREFOX-IOS-2H4A,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,TabWebView.addPullRefresh,https://mozilla.sentry.io/issues/6492238925/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,164,163,2025-04-06T18:45:40Z,2025-04-07T18:36:39Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,Tab.swift,TabWebView.addPullRefresh,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 7], [1743969600, 6], [1743973200, 4], [1743976800, 7], [1743980400, 4], [1743984000, 6], [1743987600, 4], [1743991200, 7], [1743994800, 6], [1743998400, 8], [1744002000, 7], [1744005600, 9], [1744009200, 8], [1744012800, 8], [1744016400, 3], [1744020000, 8], [1744023600, 7], [1744027200, 6], [1744030800, 3], [1744034400, 11], [1744038000, 8], [1744041600, 7], [1744045200, 12], [1744048800, 3]]",392,368,2025-03-31T20:47:40Z,2025-04-07T18:36:39Z,,,
6497252153,,FIREFOX-IOS-2H5B,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 0 >",UIView.pinToSuperview,https://mozilla.sentry.io/issues/6497252153/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,10,10,2025-04-06T22:13:48Z,2025-04-07T18:28:39Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 0 >
Attempted to dereference null pointer.",EXC_BAD_ACCESS,UIViewExtension.swift,UIView.pinToSuperview,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 1], [1743980400, 1], [1743984000, 2], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 2], [1744016400, 2], [1744020000, 0], [1744023600, 0], [1744027200, 1], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 1]]",17,17,2025-04-01T20:30:48Z,2025-04-07T18:28:39Z,,,
6497457339,,FIREFOX-IOS-2H5F,Tab loss detected. Expected: 31. Actual: 15. Windows: 1,,https://mozilla.sentry.io/issues/6497457339/,,info,unresolved,new,False,cocoa,default,0,,False,False,,False,[],error,error,low,,False,9,9,2025-04-06T21:37:48Z,2025-04-07T11:56:45Z,,6176941,firefox-ios,firefox-ios,apple-ios,,,,,mixed,sentry.cocoa,sentry.cocoa,25,Tab loss detected. Expected: 31. Actual: 15. Windows: 1,"[[1743966000, 0], [1743969600, 0], [1743973200, 1], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 1], [1743994800, 0], [1743998400, 1], [1744002000, 0], [1744005600, 1], [1744009200, 0], [1744012800, 1], [1744016400, 0], [1744020000, 2], [1744023600, 2], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",27,27,2025-04-01T21:40:45.876644Z,2025-04-07T11:56:45Z,,,
6493400051,,FIREFOX-IOS-2H4H,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,WebviewViewController.setupWebView,https://mozilla.sentry.io/issues/6493400051/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,9,9,2025-04-06T21:57:45Z,2025-04-07T18:31:59Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,WebviewViewController.swift,WebviewViewController.setupWebView,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 1], [1743976800, 0], [1743980400, 0], [1743984000, 1], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 1], [1744009200, 0], [1744012800, 0], [1744016400, 1], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 2], [1744034400, 0], [1744038000, 1], [1744041600, 1], [1744045200, 0], [1744048800, 1]]",17,17,2025-04-01T02:12:43Z,2025-04-07T18:31:59Z,,,
6494099134,,FIREFOX-IOS-2H4Q,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,TabsButton.updateConstraints,https://mozilla.sentry.io/issues/6494099134/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,8,8,2025-04-06T20:03:41Z,2025-04-07T15:13:47Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,TabsButton.swift,TabsButton.updateConstraints,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 1], [1743973200, 1], [1743976800, 1], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 1], [1744020000, 0], [1744023600, 1], [1744027200, 1], [1744030800, 0], [1744034400, 0], [1744038000, 1], [1744041600, 0], [1744045200, 0], [1744048800, 0]]",18,18,2025-04-01T05:17:41Z,2025-04-07T15:13:47Z,,,
6507270010,,FIREFOX-IOS-2H7M,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,TabsButton.updateConstraints,https://mozilla.sentry.io/issues/6507270010/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,7,7,2025-04-06T22:00:44Z,2025-04-07T18:27:44Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,TabsButton.swift,TabsButton.updateConstraints,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 1], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 1], [1744016400, 1], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 1], [1744034400, 0], [1744038000, 0], [1744041600, 1], [1744045200, 0], [1744048800, 2]]",19,19,2025-04-03T22:21:41Z,2025-04-07T18:27:44Z,,,
6494315453,,FIREFOX-IOS-2H4T,EXC_BAD_ACCESS: showAllSyncedTabs: >,?,https://mozilla.sentry.io/issues/6494315453/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,7,6,2025-04-07T01:20:52Z,2025-04-07T18:05:51Z,,6176941,firefox-ios,firefox-ios,apple-ios,"showAllSyncedTabs: >
KERN_INVALID_ADDRESS at 0xf5252a240.",EXC_BAD_ACCESS,<compiler-generated>,LegacySyncedTabCell.configure,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 1], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 1], [1744005600, 1], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 1], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 1], [1744041600, 0], [1744045200, 1], [1744048800, 1]]",20,19,2025-04-01T06:12:29Z,2025-04-07T18:05:51Z,,,
6492389837,,FIREFOX-IOS-2H4B,NSMallocException: Failed to grow buffer to 65536,DefaultDiskImageStore.saveImageForKey,https://mozilla.sentry.io/issues/6492389837/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,5,5,2025-04-06T22:04:47Z,2025-04-07T17:32:38Z,,6176941,firefox-ios,firefox-ios,apple-ios,Failed to grow buffer to 65536,NSMallocException,DiskImageStore.swift,DefaultDiskImageStore.saveImageForKey,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 2], [1743980400, 0], [1743984000, 1], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 1], [1744020000, 0], [1744023600, 0], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 1], [1744048800, 0]]",23,23,2025-03-31T21:26:38Z,2025-04-07T17:32:38Z,,,
6511735401,,FIREFOX-IOS-2H8T,"EXC_BAD_ACCESS: Exception 1, Code 1, Subcode 0 >",UIView.pinToSuperview,https://mozilla.sentry.io/issues/6511735401/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,4,4,2025-04-07T05:20:40Z,2025-04-07T16:34:43Z,,6176941,firefox-ios,firefox-ios,apple-ios,"Exception 1, Code 1, Subcode 0 >
Attempted to dereference null pointer.",EXC_BAD_ACCESS,UIViewExtension.swift,UIView.pinToSuperview,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 0], [1743998400, 0], [1744002000, 2], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 0], [1744027200, 1], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 1], [1744045200, 0], [1744048800, 0]]",5,5,2025-04-04T18:32:34Z,2025-04-07T16:34:43Z,,,
6511011957,,FIREFOX-IOS-2H8N,NSInternalInconsistencyException: Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,UIView.pinToSuperview,https://mozilla.sentry.io/issues/6511011957/,,fatal,unresolved,new,False,cocoa,error,0,,False,False,,False,[],error,error,high,,True,4,4,2025-04-07T03:32:35Z,2025-04-07T18:20:37Z,,6176941,firefox-ios,firefox-ios,apple-ios,Memory exhaustion. Attempted to allocate storage for 4294967296 bits.,NSInternalInconsistencyException,UIViewExtension.swift,UIView.pinToSuperview,mixed,sentry.cocoa,sentry.cocoa,75,,"[[1743966000, 0], [1743969600, 0], [1743973200, 0], [1743976800, 0], [1743980400, 0], [1743984000, 0], [1743987600, 0], [1743991200, 0], [1743994800, 1], [1743998400, 0], [1744002000, 0], [1744005600, 0], [1744009200, 0], [1744012800, 0], [1744016400, 0], [1744020000, 0], [1744023600, 1], [1744027200, 0], [1744030800, 0], [1744034400, 0], [1744038000, 0], [1744041600, 0], [1744045200, 1], [1744048800, 1]]",6,6,2025-04-04T15:30:43Z,2025-04-07T18:20:37Z,,,
